species_name;genus;clutch_size;body_mass
Microcerculus_bambla;Microcerculus;NA;19.1
Microcerculus_marginatus;Microcerculus;2.5;18.27
Microcerculus_philomela;Microcerculus;NA;17.8
Microcerculus_ustulatus;Microcerculus;NA;21
Odontorchilus_branickii;Odontorchilus;NA;9.6
Odontorchilus_cinereus;Odontorchilus;NA;11
Salpinctes_obsoletus;Salpinctes;5.17;16.25
Thryomanes_bewickii;Thryomanes;5.72;9.9
Thryorchilus_browni;Thryorchilus;2;14
Thryothorus_atrogularis;Thryothorus;NA;24.25
Thryothorus_coraya;Thryothorus;2;17.2
Thryothorus_eisenmanni;Thryothorus;NA;23.15
Thryothorus_euophrys;Thryothorus;NA;30.08
Thryothorus_felix;Thryothorus;5;12.8
Thryothorus_genibarbis;Thryothorus;NA;19.2
Thryothorus_guarayanus;Thryothorus;2;13.5
Thryothorus_leucotis;Thryothorus;2.5;19.5
Thryothorus_longirostris;Thryothorus;NA;21.3
Thryothorus_ludovicianus;Thryothorus;4.59;19.03
Thryothorus_maculipectus;Thryothorus;3.5;15.05
Thryothorus_modestus;Thryothorus;2.3;17.67
Thryothorus_mystacalis;Thryothorus;NA;29
Thryothorus_nigricapillus;Thryothorus;3;23.9
Thryothorus_pleurostictus;Thryothorus;3.5;17.7
Thryothorus_rufalbus;Thryothorus;2.7;25
Thryothorus_rutilus;Thryothorus;2.75;16.5
Thryothorus_sclateri;Thryothorus;NA;20
Thryothorus_semibadius;Thryothorus;2;17
Thryothorus_sinaloa;Thryothorus;5;15.1
Thryothorus_spadix;Thryothorus;2;NA
Thryothorus_superciliaris;Thryothorus;2.5;22.8
Thryothorus_thoracicus;Thryothorus;2.5;17.6
Troglodytes_aedon;Troglodytes;6.22;10.98
Troglodytes_cobbi;Troglodytes;3.5;19.1
Troglodytes_ochraceus;Troglodytes;NA;9.4
Troglodytes_rufociliatus;Troglodytes;3;10
Troglodytes_rufulus;Troglodytes;NA;16.1
Troglodytes_solstitialis;Troglodytes;2;11.4
Troglodytes_troglodytes;Troglodytes;6.06;9.29
Uropsila_leucogastra;Uropsila;4;9.05
